url,primary_topic,search_intent,funnel_stage_inferred,content_type,product_assoc,topic_cluster,clicks_90d,impressions_90d,avg_position,ctr_pct,trend,branded,conversion_relevance_inferred,recommended_action,notes
https://searchatlas.com/blog/rank-tracking-tools/,Rank tracking tools,commercial,MOFU,listicle,Rank Tracker,Competitor-Comparison,36,1110162,48.3,0.0,n/a,no,medium,Reposition,"1.1M impr at pos 48 = the single biggest impression sink. Cannot win head term; reposition to AI/automation angle."
https://searchatlas.com/blog/local-citation-services/,Local citation services,commercial,MOFU,listicle,Local Citations,Local-SEO,35,67607,18.6,0.05,n/a,no,high,Refresh+AddLinks,"67k impr; tie to Local Citation Builder product. Pos 18.6 has room."
https://searchatlas.com/blog/agentic-seo/,Agentic SEO,informational,TOFU,thought-leadership,OTTO,AI-Search,34,8857,11.2,0.38,n/a,no,high,Expand,"Strategic 2026 term at pos 11; expand + tie to OTTO autonomy story."
https://searchatlas.com/blog/blog-setup/,Blog setup,informational,TOFU,guide,Website Studio,SEO-Education,34,31110,5.4,0.11,n/a,no,low,Keep,"Pos 5.4 with 0.11% CTR = top CTR-fix candidate (~2206 potential)."
https://searchatlas.com/blog/domain-authority-tools/,Domain authority tools,commercial,MOFU,listicle,Domain Power,Competitor-Comparison,34,66089,22.9,0.05,n/a,no,high,Consolidate,"Part of DA cluster (with da-vs-ta-2026, domain-rating-vs-domain-authority, domain-power). Consolidate around Domain Power."
https://searchatlas.com/blog/how-to-use-search-atlas-llm-visibility/,LLM Visibility walkthrough,product/how-to,BOFU,product-guide,LLM Visibility,AI-Search,32,7408,38.2,0.43,RECOVER,no,partial,Expand+Reposition,"The conversion asset for AEO cluster but pos 38 + orphaned. Make hub conversion center; needs SME UI detail."
https://searchatlas.com/blog/best-ai-tools/,Best AI tools,commercial,TOFU,listicle,none,AI-Tools-Reviews,31,32072,8.5,0.10,DECLINE,no,low,Monitor,"Impression decline -87; off-core but cannibalizes google-ai-mode (pos 3)."
https://searchatlas.com/blog/similarweb-alternatives/,Similarweb alternatives,commercial,MOFU,listicle,Site Explorer,Competitor-Comparison,31,117927,24.3,0.03,DECLINE,no,high,Refresh,"118k impr; CTR collapse. Cannibal cluster with semrush-vs-similarweb, similarweb-review."
https://searchatlas.com/blog/ai-overviews/,AI Overviews,informational,TOFU,guide,LLM Visibility,AI-Search,26,34914,25.6,0.07,n/a,no,high,Refresh+Reposition,"Strategic 2026 topic at pos 25.6; refresh with current AI Overview data + route to LLM Visibility."
https://searchatlas.com/blog/competitor-analysis-tools/,Competitor analysis tools,commercial,MOFU,listicle,Site Explorer,Competitor-Comparison,26,574905,35.1,0.0,n/a,no,medium,Reposition,"575k impr at pos 35; head term, low feasibility."
https://searchatlas.com/blog/seo-content/,SEO content,informational,TOFU,guide,Content Genius,SEO-Education,26,88176,30.9,0.03,n/a,no,medium,Refresh,"88k impr; tie to Content Genius."
https://searchatlas.com/blog/domain-power/,Domain Power (metric),informational,MOFU,guide,Domain Power,Competitor-Comparison,25,1399,19.8,1.79,n/a,no,yes,Expand,"Branded proprietary metric explainer; pos 19.8. Consolidation hub for DA cluster."
https://searchatlas.com/blog/on-page-seo/,On-page SEO,informational,TOFU,guide,OTTO,SEO-Education,25,185120,45.5,0.01,n/a,no,low,Monitor,"185k impr at pos 45.5; head term sink."
https://searchatlas.com/blog/topical-authority/,Topical authority,informational,TOFU,guide,Content Genius,SEO-Education,18,19362,20.9,0.09,n/a,no,medium,Refresh,"Tie to Topical Dominance/Content Genius; pos 21."
https://searchatlas.com/blog/da-vs-ta-2026/,DA vs TA 2026,informational,MOFU,guide,Domain Power,Competitor-Comparison,22,18173,8.1,0.12,n/a,no,high,Consolidate,"DA cluster member at pos 8; consolidate toward Domain Power explainer."
https://searchatlas.com/blog/google-ai-mode/,Google AI Mode,informational,TOFU,guide,LLM Visibility,AI-Search,16,81484,6.6,0.02,n/a,no,high,Refresh,"81k impr at pos 6.6, 0.02% CTR = highest single CTR opportunity (~4140 clicks). Title/snippet rewrite priority. Cannibal with /news/google-ai-mode/ + best-ai-tools."
https://searchatlas.com/blog/aeo-aio-geo/,AEO vs AIO vs GEO,informational,TOFU,guide,LLM Visibility,AI-Search,21,2455,12.6,0.86,n/a,no,medium,Keep+AddLinks,"Disambiguation page; strong hub-link candidate."
https://searchatlas.com/blog/what-is-gpt-4o/,What is GPT-4o,informational,TOFU,guide,none,AI-Tools-Reviews,9,74654,8.5,0.01,n/a,no,low,Monitor,"75k impr at pos 8.5; CTR fix ~2380 but off-ICP."
https://searchatlas.com/blog/chatgpt-vs-claude/,ChatGPT vs Claude,commercial,TOFU,comparison,none,AI-Tools-Reviews,13,12476,3.2,0.10,n/a,no,low,Refresh(snippet),"Pos 3.2 with 0.10% CTR = ~1359 potential. Pure title/meta fix."
https://searchatlas.com/blog/seobility-vs-semrush/,Seobility vs Semrush,commercial,MOFU,comparison,Site Explorer,Competitor-Comparison,2,20007,6.1,0.01,n/a,no,medium,Refresh(snippet),"Pos 6.1, 0.01% CTR = ~1018 potential. Title/meta fix."
https://searchatlas.com/blog/brightedge-review/,BrightEdge review,commercial,MOFU,review,Site Explorer,Competitor-Comparison,27,137200,16.4,0.02,DECLINE,no,high,Refresh,"137k impr; enterprise-competitor intent. CTR fix ~1642."
https://searchatlas.com/blog/anthropic-claude-review/,Anthropic Claude review,commercial,TOFU,review,none,AI-Tools-Reviews,22,57182,9.2,0.04,n/a,no,low,Consolidate,"Has duplicate /anthropic-claude-review-2/. Merge + 301; off-core."
https://searchatlas.com/blog/anthropic-claude-review-2/,Anthropic Claude review (dup),commercial,TOFU,review,none,AI-Tools-Reviews,4,20449,7.4,0.02,n/a,no,low,Redirect,"Duplicate. 301 into anthropic-claude-review."
https://searchatlas.com/blog/buzzsumo-vs-ahrefs/,BuzzSumo vs Ahrefs,commercial,MOFU,comparison,Site Explorer,Competitor-Comparison,0,8618,5.5,0.0,n/a,no,medium,Refresh(snippet),"Pos 5.5 with 0% CTR; self-cannibalizing anchor URLs. Snippet + anchor cleanup."
https://searchatlas.com/blog/best-ai-content-writing-tools/,Best AI content writing tools,commercial,MOFU,listicle,Content Genius,Competitor-Comparison,5,49664,9.0,0.01,n/a,no,high,Refresh,"50k impr at pos 9, 0.01% CTR. Tie to Content Genius; strong CTR fix."
https://searchatlas.com/otto-seo/,OTTO SEO product page,commercial/branded,BOFU,product,OTTO,Product,2699,,20.5,,DECLINE,partial,high,Refresh,"Flagship product page; -574 clicks/90d (impression decline). Highest-traffic product page; protect + refresh. Impressions N/A (product-page pull)."
https://searchatlas.com/pricing/,Pricing,commercial/branded,BOFU,product,All,Product,1223,248717,11.7,0.49,n/a,partial,high,Refresh(snippet),"248k impr at pos 11.7; CTR fix ~4153. Decision-stage page."
https://searchatlas.com/features/,Features,commercial,MOFU,product,All,Product,88,190063,7.3,0.05,n/a,no,high,Refresh(snippet),"190k impr at pos 7.3, 0.05% CTR = ~7515 potential clicks. Largest product-page CTR opportunity."
https://searchatlas.com/case-studies/,Case studies,commercial,BOFU,proof,All,Product,34,108802,7.2,0.03,n/a,no,high,Refresh(snippet),"109k impr at pos 7.2; CTR fix ~4318. BOFU proof asset under-clicked."
https://searchatlas.com/atlas-brain/,Atlas Brain product,branded,BOFU,product,Search Atlas Coworker,Product,414,,5.7,,DECLINE,yes,high,Refresh,"Branded product page (STYLE-SYSTEM now says Search Atlas Coworker not Atlas Brain). -32 clicks; check naming alignment. Impressions N/A."
https://searchatlas.com/llm-visibility/,LLM Visibility product,commercial,BOFU,product,LLM Visibility,AI-Search,66,,26.8,,DECLINE,partial,high,Refresh+Reposition,"KEY product page for AI-Search cluster; CTR collapse -26, pos 26.8. Conversion destination for the whole AEO cluster. Priority refresh + cluster links in. Impressions N/A."
https://searchatlas.com/site-explorer/,Site Explorer product,commercial,BOFU,product,Site Explorer,Product,154,66964,10.9,0.23,n/a,partial,high,Refresh(snippet),"site explorer query pos 7.2; CTR fix ~1400."
https://searchatlas.com/da-checker/,DA checker tool,commercial,MOFU,free-tool,Domain Power,Competitor-Comparison,573,,19.8,,DECLINE,no,medium,Refresh,"-214 clicks/90d (pos 28->19.8). Free-tool magnet; reframe around Domain Power. Impressions N/A."
https://searchatlas.com/backlink-analyzer/,Backlink analyzer tool,commercial,MOFU,free-tool,Backlink Research,Product,341,,29.2,,RECOVER,no,medium,Keep,"Pos improved 49.6->29.2; backlink analyzer query pos 14.6 quick-win. Impressions N/A."
https://searchatlas.com/local-citations/,Local citations,commercial,MOFU,product,Local Citations,Local-SEO,178,51601,10.6,0.34,DECLINE,partial,high,Refresh,"Impression decline -42; pos improved 20->10.6. CTR fix ~1049. Tie to Local Citation Builder."
https://searchatlas.com/local-seo/,Local SEO,commercial,MOFU,product,GBP Galactic,Local-SEO,153,55572,11.8,0.28,n/a,partial,high,Refresh(snippet),"55k impr at pos 11.8; CTR fix ~1042."
https://searchatlas.com/white-label-seo-software/,White-label SEO software,commercial,BOFU,product,All,White-Label-Agency,284,,32.7,,DECLINE,no,high,Expand,"Ranking loss -100 (pos 26->32.7). Huge white-label query cluster (20+ queries 200k+ impr) all ranking pos 20-40. Build out agency/white-label hub. Impressions N/A."
https://searchatlas.com/search-atlas-vs-semrush/,Search Atlas vs Semrush,commercial,BOFU,comparison,All,Competitor-Comparison,203,,27.5,,DECLINE,partial,high,Refresh,"-32 clicks; semrush vs search atlas already pos 8 branded. Strengthen for non-branded semrush-alternatives intent + add LLM-visibility wedge. Impressions N/A."
https://searchatlas.com/searchatlas-vs-ahrefs/,Search Atlas vs Ahrefs,commercial,BOFU,comparison,All,Competitor-Comparison,75,,16.6,,RECOVER,partial,high,Refresh,"Pos improved 42.6->16.6; momentum. Add AI-visibility + OTTO-execution wedge. Impressions N/A."
https://searchatlas.com/content-genius/,Content Genius product,commercial,BOFU,product,Content Genius,Product,158,,12.9,,RECOVER,partial,high,Keep,"Pos improved 23.8->12.9 (momentum). Link from SEO-content + AI-content blog pages. Impressions N/A."
https://searchatlas.com/otto-google-ads/,OTTO Google Ads,commercial,BOFU,product,Smart Ads,Product,154,,24.2,,DECLINE,partial,high,Refresh,"-180 clicks/90d. Ties to every-channel rebrand pillar (runs ads too). Impressions N/A."
https://searchatlas.com/otto-pixel/,OTTO pixel,commercial,BOFU,product,OTTO,Product,92,,10.1,,DECLINE,no,medium,Keep,"-57 clicks impression decline; pos 10. Impressions N/A."
https://searchatlas.com/google-my-business-management-software/,GBP management software,commercial,BOFU,product,GBP Galactic,Local-SEO,106,,24.8,,DECLINE,partial,high,Refresh,"-64 clicks; large local cluster. STYLE-SYSTEM: never GMB. Reframe to GBP. Impressions N/A."
https://searchatlas.com/local-seo-software/,Local SEO software,commercial,BOFU,product,GBP Galactic,Local-SEO,76,,30.6,,DECLINE,partial,high,Refresh,"-59 clicks; local cluster build-out. Impressions N/A."
https://searchatlas.com/enterprise-agency/,Enterprise agency,commercial,BOFU,product,All,White-Label-Agency,30,,34.2,,DECLINE,partial,high,Reposition,"CTR collapse -83; pos 34. Fold into agency/white-label hub. Impressions N/A."
https://searchatlas.com/seo-topical-maps/,SEO topical maps,commercial,MOFU,product,Content Genius,Product,61,,13.7,,DECLINE,partial,medium,Refresh,"CTR collapse -75; pos 13.7; tie to Topical Dominance. Impressions N/A."
https://searchatlas.com/careers/,Careers,navigational,n/a,corporate,none,Brand-Nav,879,60734,2.4,1.45,DECLINE,yes,none,Monitor,"-152 clicks but non-commercial; 61k impr brand/jobs traffic. Not a content target."
https://searchatlas.com/about-us/,About us,navigational,n/a,corporate,none,Brand-Nav,199,63996,2.3,0.31,n/a,yes,low,Monitor,"64k impr brand traffic; CTR gap is navigational noise, not an opportunity."
